id,name,party,constituency
5549,Mukumbuta Mulowa,United Party for National Development (UPND),Senanga
5602,Darius Mulunda,United Party for National Development (UPND),Siavonga
5468,Stafford Mulusa,United Party for National Development (UPND),Solwezi Central
5776,Lucky Mulusa,Patriotic Front (PF),Nominated
5657,Sheal Mulyata,United Party for National Development (UPND),Rufunsa
5392,Anthony Mumba,Independent (Independent),Kantanshi
4689,Darious Mumba,Patriotic Front (PF),Chama North
5615,Brian Mundubile,Patriotic Front (PF),Mporokoso
5677,Davison Mung`andu,Patriotic Front (PF),Chama South
5687,Mwenya Munkonge,Independent (Independent),Lukashya
345,Sydney Mushanga,Patriotic Front (PF),Bwacha
5391,Brian Mushimba,Patriotic Front (PF),Kankoyo
347,Situmbeko Musokotwane,United Party for National Development (UPND),Liuwa
5366,Elalio Musonda,Patriotic Front (PF),Kamfinsa
348,Richard Musukwa,Patriotic Front (PF),Chililabombwe
5446,Sililo Mutaba,United Party for National Development (UPND),Mwandi
5320,Remember Mutale,Patriotic Front (PF),Chitambo
353,Felix Mutati,Patriotic Front (PF),Nominated
3226,Misheck Mutelo,United Party for National Development (UPND),Mitete
5525,Japhen Mwakalombe,Patriotic Front (PF),Chongwe
358,Vincent Mwale,Patriotic Front (PF),Chipangali
5683,George Mwamba,Patriotic Front (PF),Lubansenshi
3754,Margaret Mwanakatwe,Patriotic Front (PF),Lusaka Central
5336,Doreen Mwape,Patriotic Front (PF),Mkushi North
5311,Patricia Mwashingwele,United Party for National Development (UPND),Katuba
363,Cornelius Mweetwa,United Party for National Development (UPND),Choma
5451,Naluwa Mwene,United Party for National Development (UPND),Mangango
366,Rodgers Mwewa,Patriotic Front (PF),Mwansabombwe
368,Jacob Mwiimbu,United Party for National Development (UPND),Monze
5463,Kabwe Mwiinga,United Party for National Development (UPND),Chikankata
5363,Elias Mwila,Independent (Independent),Chimwemwe
7858,Raphael Nakacinda,Movement for Multi-Party Democracy (MMD),Nominated
370,Catherine Namugala,Movement for Multi-Party Democracy (MMD),Nominated
5339,Credo Nanjuwa,United Party for National Development (UPND),Mumbwa
374,Mundia Ndalamei,United Party for National Development (UPND),Sikongo
5395,Frank Ng'ambi,Patriotic Front (PF),Chifubu
8008,Bwalya Ng'andu,Patriotic Front (PF),Nominated
5328,Tutwa Ngulube,Patriotic Front (PF),Kabwe Central
379,Maxas Ng’onga,Patriotic Front (PF),Kaputa
5354,Matthew Nkhuwa,Patriotic Front (PF),Chingola
82,Gary Nkombo,United Party for National Development (UPND),Mazabuka Central
5425,Lawrence Nyirenda,Independent (Independent),Lundazi
5427,Olipa Phiri,Patriotic Front (PF),Nyimba
3335,Peter Phiri,Movement for Multi-Party Democracy (MMD),Mkaika
5539,Elizabeth Phiri,Patriotic Front (PF),Kanyama
7343,Mumbi Phiri,Patriotic Front (PF),Nominated
7863,Goodwin Putu,Patriotic Front (PF),Mangango
5469,Newton Samakayi,United Party for National Development (UPND),Mwinilunga
5703,Kelvin Sampa,Patriotic Front (PF),Kasama
5323,Herbert Shabula,United Party for National Development (UPND),Itezhi-Tezhi
5596,Gift Sialubalo,United Party for National Development (UPND),Sinazongwe
4514,Lawrence Sichalwe,Patriotic Front (PF),Chawama
404,Chomba Sikazwe,Patriotic Front (PF),Mpulungu
406,Dora Siliya,Patriotic Front (PF),Petauke Central
407,Kapembwa Simbao,Patriotic Front (PF),Senga Hill
